0,0
2,15
1,8
4,25
8,45
9,50
7,40
10,60
15,90
12,70
25,150
14,80
23,135
12,68
2,14
3,19
5,30
4,26
7,39
8,46
2,16
15,91
1,5
0,0
10,62
8,44
21,125
22,130
20,120
23,136
12,69
15,89
11,64
5,31
12,72
14,84
9,54
8,46
6,34
3,18
1,6
15,92
19,114
20,119
25,149
24,144
15,95
16,96
17,101
14,77
9,58
12,73
11,66
8,49
5,28
2,13
4,23
3,17
5,28
6,33
25,155
20,124
16,96
13,73
9,58
5,33
4,29
3,18
6,37
15,92
10,59
7,42
0,0
3,16
1,7
7,44
9,56
6,34
15,89
11,62
12,71
22,129
13,77
16,94
19,117
14,84
5,28
6,36
3,15
2,13
0,0
10,62
11,66
18,112
14,82
13,79
10,64
25,155
23,140
21,122
5,26
0,0
11,66
15,94
13,78
17,105
19,119
21,126
22,131
16,93
10,55
2,11
9,51
11,69
0,0
10,58
1,10
5,33
18,111
15,92
16,98
13,73
22,128
0,0
1,5
18,109
14,83
11,61
9,49
5,31
7,44
6,39
3,19
0,0
19,117
25,148
24,142
20,122
22,134
15,86
23,138
21,124
0,0
19,114
14,82
17,100
13,67
11,63
6,37
4,24
9,53
8,47
2,12
0,0
10,63
13,74
16,96
19,111
24,144
12,67
21,121
3,21
7,47
9,59
4,24
0,0
10,63
1,6
2,17
5,36
8,52
16,98
13,73
24,139
22,133
11,66
23,135
18,107
0,0
2,13
5,32
8,52
10,58
9,57
22,126
11,68
19,114
15,87
13,79
25,147
2,16
3,19
0,0
5,31
15,93
25,156
16,93
14,82
11,67
9,51
